2018-11-16 18:57:01,394 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:57:01.386558'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:57:01.386558')
2018-11-16 18:57:01,397 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:57:01,400 DEBUG (0.001) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users` WHERE `users`.`id` = 29; args=(29,)
2018-11-16 18:57:05,380 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:57:05,381 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:57:05,383 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:57:05.378032'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:57:05.378032')
2018-11-16 18:57:05,386 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:57:05,389 DEBUG (0.001) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users` WHERE `users`.`id` = 29; args=(29,)
2018-11-16 18:57:07,090 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:57:07,091 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:57:07,093 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:57:07.088383'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:57:07.088383')
2018-11-16 18:57:07,096 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:57:07,100 DEBUG (0.002) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users`; args=()
2018-11-16 18:57:36,038 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:57:36,038 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:57:36,042 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:57:36.035153'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:57:36.035153')
2018-11-16 18:57:36,045 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:57:36,047 DEBUG (0.001) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users`; args=()
